id_actividad,disciplina,descripcion,unidad,cantidad_planificada,cantidad_ejecutada,peso_presupuesto_usd,avance_planificado_pct,costo_real_usd
STAP-MEC-054,Mecánica estática,Aislamiento térmico de tubería — Área 400 (Bombeo),m2,1665,1143,16217,0.79,11165
STAP-MEC-055,Mecánica estática,Prueba hidrostática de líneas — Área 600 (Servicios),m,2305,2014,6154,1.0,5345
STAP-MEC-056,Mecánica estática,Aislamiento térmico de tubería — Área 100 (Recepción),m2,559,337,4567,0.68,3119
STAP-MEC-057,Mecánica estática,Accesorios y soportería de tubería — Área 100 (Recepción),kg,11611,6976,14978,0.71,9349
STAP-MEC-058,Mecánica estática,Tendido de tubería enterrada — Área 300 (Tratamiento),m,1478,1318,38561,1.0,34037
STAP-MEC-059,Mecánica estática,Prueba hidrostática de líneas — Área 300 (Tratamiento),m,2543,2189,14088,1.0,12620
STAP-MEC-060,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,30,25,41090,0.88,33147
STAP-MEC-061,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 600 (Servicios),und,2,1,265999,0.69,142806
STAP-MEC-062,Mecánica estática,Montaje de válvulas de proceso — Área 300 (Tratamiento),und,40,35,48652,0.95,40329
STAP-MEC-063,Mecánica estática,Montaje de válvulas de proceso — Área 200 (Separación),und,69,44,50923,0.78,31494
STAP-MEC-064,Mecánica estática,Prueba hidrostática de líneas — Área 600 (Servicios),m,2983,1832,16019,0.74,10524
STAP-MEC-065,Mecánica estática,Aislamiento térmico de tubería — Área 600 (Servicios),m2,1166,561,13118,0.59,6739
STAP-MEC-066,Mecánica estática,Soldadura de tubería de proceso — Área 600 (Servicios),pulg_diam,508,344,28448,0.72,21033
STAP-MEC-067,Mecánica estática,Montaje de válvulas de proceso — Área 200 (Separación),und,93,48,127882,0.71,74002
STAP-MEC-068,Mecánica estática,Prueba hidrostática de líneas — Área 500 (Inyección),m,2950,2358,12656,0.99,11437
STAP-MEC-069,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 100 (Recepción),und,1,1,62928,1.0,69172
STAP-MEC-070,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 200 (Separación),und,1,1,109343,1.0,115733
STAP-MEC-071,Mecánica estática,Soldadura de tubería de proceso — Área 600 (Servicios),pulg_diam,526,446,21929,1.0,19225
STAP-MEC-072,Mecánica estática,Soldadura de tubería de proceso — Área 100 (Recepción),pulg_diam,677,315,45251,0.61,23608
STAP-MEC-073,Mecánica estática,Tendido de tubería enterrada — Área 500 (Inyección),m,1216,693,33537,0.72,20177
STAP-MEC-074,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 200 (Separación),und,2,1,184288,0.63,89150
STAP-MEC-075,Mecánica estática,Montaje de válvulas de proceso — Área 600 (Servicios),und,34,29,13616,0.99,11457
STAP-MEC-076,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 200 (Separación),und,2,1,237819,0.62,118783
STAP-MEC-077,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 300 (Tratamiento),und,1,1,105696,1.0,115111
STAP-MEC-078,Mecánica estática,Prueba hidrostática de líneas — Área 300 (Tratamiento),m,1469,1290,3643,0.96,3067
STAP-MEC-079,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,5586,3281,7485,0.73,4807
STAP-MEC-080,Mecánica estática,Tendido de tubería enterrada — Área 300 (Tratamiento),m,2865,1444,66353,0.64,34667
STAP-MEC-081,Mecánica estática,Soldadura de tubería de proceso — Área 500 (Inyección),pulg_diam,2091,1841,86400,1.0,81290
STAP-MEC-082,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 100 (Recepción),und,2,1,236636,0.61,115864
STAP-MEC-083,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,111,77,149770,0.76,111862
STAP-MEC-084,Mecánica estática,Accesorios y soportería de tubería — Área 500 (Inyección),kg,9582,4846,11211,0.57,5372
STAP-MEC-085,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,56,33,69142,0.69,40101
STAP-MEC-086,Mecánica estática,Soldadura de tubería de proceso — Área 400 (Bombeo),pulg_diam,1824,1057,105683,0.66,69145
STAP-MEC-087,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 500 (Inyección),und,2,1,215820,0.63,118329
STAP-MEC-088,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,22940,18992,33722,0.97,29254
STAP-MEC-089,Mecánica estática,Montaje de válvulas de proceso — Área 200 (Separación),und,109,77,68330,0.85,47905
STAP-MEC-090,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 600 (Servicios),und,1,1,119863,1.0,122017
STAP-MEC-091,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 400 (Bombeo),und,2,2,220241,1.0,216218
STAP-MEC-092,Mecánica estática,Prueba hidrostática de líneas — Área 600 (Servicios),m,752,494,2835,0.78,2018
STAP-MEC-093,Mecánica estática,Soldadura de tubería de proceso — Área 300 (Tratamiento),pulg_diam,1923,1396,91612,0.84,64528
STAP-MEC-094,Mecánica estática,Prueba hidrostática de líneas — Área 400 (Bombeo),m,2632,1552,10581,0.67,6872
STAP-MEC-095,Mecánica estática,Montaje de válvulas de proceso — Área 500 (Inyección),und,78,43,39548,0.67,21247
STAP-MEC-096,Mecánica estática,Soldadura de tubería de proceso — Área 500 (Inyección),pulg_diam,1827,1137,111849,0.76,70367
STAP-MEC-097,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 600 (Servicios),und,2,1,227000,0.6,117554
STAP-MEC-098,Mecánica estática,Tendido de tubería enterrada — Área 600 (Servicios),m,1094,917,24713,0.92,21167
STAP-MEC-099,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,22978,16096,23897,0.82,17629
STAP-MEC-100,Mecánica estática,Aislamiento térmico de tubería — Área 200 (Separación),m2,1516,877,17404,0.78,10861
STAP-MEC-101,Mecánica estática,Montaje de válvulas de proceso — Área 600 (Servicios),und,54,31,38180,0.74,22339
STAP-MEC-102,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 600 (Servicios),und,1,1,138631,1.0,149178
STAP-MEC-103,Mecánica estática,Tendido de tubería enterrada — Área 200 (Separación),m,2869,1377,67192,0.66,33773
STAP-MEC-104,Mecánica estática,Montaje de válvulas de proceso — Área 300 (Tratamiento),und,61,40,88842,0.71,55809
STAP-MEC-105,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 100 (Recepción),und,1,1,154013,1.0,145333
STAP-MEC-106,Mecánica estática,Montaje de válvulas de proceso — Área 200 (Separación),und,69,45,36887,0.81,26601
STAP-MEC-107,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,28028,13990,30270,0.58,16111
STAP-MEC-108,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,33,29,36050,1.0,31194
STAP-MEC-109,Mecánica estática,Accesorios y soportería de tubería — Área 400 (Bombeo),kg,10764,5592,15500,0.61,8847
STAP-MEC-110,Mecánica estática,Soldadura de tubería de proceso — Área 400 (Bombeo),pulg_diam,451,274,24634,0.76,15653
STAP-MEC-111,Mecánica estática,Montaje de válvulas de proceso — Área 300 (Tratamiento),und,84,61,124753,0.9,101286
STAP-MEC-112,Mecánica estática,Aislamiento térmico de tubería — Área 500 (Inyección),m2,245,201,1899,0.94,1516
STAP-MEC-113,Mecánica estática,Prueba hidrostática de líneas — Área 400 (Bombeo),m,422,330,2021,0.94,1546
STAP-MEC-114,Mecánica estática,Prueba hidrostática de líneas — Área 600 (Servicios),m,1336,1058,6092,0.91,5212
STAP-MEC-115,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,106,85,60375,0.96,49270
STAP-MEC-116,Mecánica estática,Aislamiento térmico de tubería — Área 600 (Servicios),m2,1085,935,9342,0.92,8749
STAP-MEC-117,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 400 (Bombeo),und,2,2,203860,1.0,224729
STAP-MEC-118,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 400 (Bombeo),und,2,1,257115,0.66,126782
STAP-MEC-119,Mecánica estática,Aislamiento térmico de tubería — Área 400 (Bombeo),m2,240,171,2438,0.83,1648
STAP-MEC-120,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 400 (Bombeo),und,2,2,245660,1.0,243669
STAP-MEC-121,Mecánica estática,Aislamiento térmico de tubería — Área 500 (Inyección),m2,417,295,3011,0.81,2374
STAP-MEC-122,Mecánica estática,Montaje de válvulas de proceso — Área 200 (Separación),und,40,32,47281,0.98,39466
STAP-MEC-123,Mecánica estática,Tendido de tubería enterrada — Área 400 (Bombeo),m,814,589,22784,0.82,16045
STAP-MEC-124,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,111,73,100631,0.77,62781
STAP-MEC-125,Mecánica estática,Tendido de tubería enterrada — Área 600 (Servicios),m,2536,1966,53002,0.86,39406
STAP-MEC-126,Mecánica estática,Aislamiento térmico de tubería — Área 200 (Separación),m2,630,394,7566,0.75,5301
STAP-MEC-127,Mecánica estática,Prueba hidrostática de líneas — Área 100 (Recepción),m,2504,1560,12169,0.71,7465
STAP-MEC-128,Mecánica estática,Tendido de tubería enterrada — Área 300 (Tratamiento),m,3011,2421,50796,0.98,44807
STAP-MEC-129,Mecánica estática,Prueba hidrostática de líneas — Área 100 (Recepción),m,2037,1375,5317,0.79,3966
STAP-MEC-130,Mecánica estática,Prueba hidrostática de líneas — Área 600 (Servicios),m,2122,1131,9400,0.62,5609
STAP-MEC-131,Mecánica estática,Tendido de tubería enterrada — Área 200 (Separación),m,2776,1430,54993,0.65,29888
STAP-MEC-132,Mecánica estática,Accesorios y soportería de tubería — Área 500 (Inyección),kg,28296,20139,32540,0.77,24795
STAP-MEC-133,Mecánica estática,Montaje de válvulas de proceso — Área 200 (Separación),und,70,60,62369,0.95,53493
STAP-MEC-134,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 600 (Servicios),und,1,1,125353,1.0,124479
STAP-MEC-135,Mecánica estática,Montaje de válvulas de proceso — Área 600 (Servicios),und,80,66,87780,1.0,73525
STAP-MEC-136,Mecánica estática,Montaje de válvulas de proceso — Área 600 (Servicios),und,38,21,29114,0.66,16754
STAP-MEC-137,Mecánica estática,Prueba hidrostática de líneas — Área 500 (Inyección),m,2317,1992,12998,0.9,11521
STAP-MEC-138,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 200 (Separación),und,2,1,177592,0.63,91028
STAP-MEC-139,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,27075,18243,30595,0.86,20566
STAP-MEC-140,Mecánica estática,Prueba hidrostática de líneas — Área 100 (Recepción),m,3180,2538,9572,0.92,8071
STAP-MEC-141,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,15730,14145,16516,1.0,15249
STAP-MEC-142,Mecánica estática,Tendido de tubería enterrada — Área 500 (Inyección),m,2364,1614,54136,0.83,37696
STAP-MEC-143,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 300 (Tratamiento),und,2,1,190891,0.6,99580
STAP-MEC-144,Mecánica estática,Prueba hidrostática de líneas — Área 500 (Inyección),m,633,454,1703,0.81,1238
STAP-MEC-145,Mecánica estática,Tendido de tubería enterrada — Área 300 (Tratamiento),m,975,855,22952,1.0,21745
STAP-MEC-146,Mecánica estática,Soldadura de tubería de proceso — Área 100 (Recepción),pulg_diam,447,307,21353,0.74,15457
STAP-MEC-147,Mecánica estática,Accesorios y soportería de tubería — Área 500 (Inyección),kg,12192,7541,15484,0.72,9256
STAP-MEC-148,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 400 (Bombeo),und,1,1,75205,1.0,71475
STAP-MEC-149,Mecánica estática,Tendido de tubería enterrada — Área 400 (Bombeo),m,1025,726,19485,0.89,13859
STAP-MEC-150,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 500 (Inyección),und,1,1,114011,1.0,119487
STAP-MEC-151,Mecánica estática,Accesorios y soportería de tubería — Área 200 (Separación),kg,10467,7003,12560,0.78,7987
STAP-MEC-152,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 100 (Recepción),und,2,1,265903,0.7,143524
STAP-MEC-153,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 200 (Separación),und,2,1,229416,0.62,111587
STAP-MEC-154,Mecánica estática,Aislamiento térmico de tubería — Área 400 (Bombeo),m2,1209,988,11884,0.88,9652
STAP-MEC-155,Mecánica estática,Aislamiento térmico de tubería — Área 200 (Separación),m2,495,294,5222,0.79,3484
STAP-MEC-156,Mecánica estática,Aislamiento térmico de tubería — Área 600 (Servicios),m2,537,441,5230,0.94,4283
STAP-MEC-157,Mecánica estática,Soldadura de tubería de proceso — Área 400 (Bombeo),pulg_diam,1056,528,74554,0.68,40597
STAP-MEC-158,Mecánica estática,Aislamiento térmico de tubería — Área 400 (Bombeo),m2,1562,1188,13308,0.93,10778
STAP-MEC-159,Mecánica estática,Tendido de tubería enterrada — Área 600 (Servicios),m,2144,1920,47104,1.0,40342
STAP-MEC-160,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 600 (Servicios),und,1,1,130478,1.0,135903
STAP-MEC-161,Mecánica estática,Soldadura de tubería de proceso — Área 600 (Servicios),pulg_diam,484,252,30124,0.61,16664
STAP-MEC-162,Mecánica estática,Tendido de tubería enterrada — Área 400 (Bombeo),m,784,533,18236,0.8,12191
STAP-MEC-163,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 400 (Bombeo),und,1,1,77432,1.0,73599
STAP-MEC-164,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 600 (Servicios),und,2,1,135751,0.64,65255
STAP-MEC-165,Mecánica estática,Tendido de tubería enterrada — Área 500 (Inyección),m,1798,1297,40904,0.82,30615
STAP-MEC-166,Mecánica estática,Montaje de válvulas de proceso — Área 400 (Bombeo),und,56,50,48168,1.0,45832
STAP-MEC-167,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,22154,10391,20825,0.57,9260
STAP-MEC-168,Mecánica estática,Accesorios y soportería de tubería — Área 400 (Bombeo),kg,15638,12580,21893,0.89,16677
STAP-MEC-169,Mecánica estática,Tendido de tubería enterrada — Área 500 (Inyección),m,2463,1874,73693,0.8,62577
STAP-MEC-170,Mecánica estática,Tendido de tubería enterrada — Área 100 (Recepción),m,1233,724,31170,0.76,17352
STAP-MEC-171,Mecánica estática,Tendido de tubería enterrada — Área 300 (Tratamiento),m,1187,847,24381,0.86,17795
STAP-MEC-172,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 100 (Recepción),und,1,1,123315,1.0,129507
STAP-MEC-173,Mecánica estática,Prueba hidrostática de líneas — Área 500 (Inyección),m,2670,1800,14044,0.8,10472
STAP-MEC-174,Mecánica estática,Soldadura de tubería de proceso — Área 100 (Recepción),pulg_diam,2032,1158,103734,0.71,58271
STAP-MEC-175,Mecánica estática,Soldadura de tubería de proceso — Área 400 (Bombeo),pulg_diam,1177,811,82296,0.89,59895
STAP-MEC-176,Mecánica estática,Soldadura de tubería de proceso — Área 500 (Inyección),pulg_diam,2451,1737,179168,0.81,126032
STAP-MEC-177,Mecánica estática,Prueba hidrostática de líneas — Área 600 (Servicios),m,2925,1476,8424,0.57,4482
STAP-MEC-178,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 600 (Servicios),und,1,1,87251,1.0,90044
STAP-MEC-179,Mecánica estática,Aislamiento térmico de tubería — Área 100 (Recepción),m2,1480,737,16073,0.55,8464
STAP-MEC-180,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 100 (Recepción),und,1,1,94167,1.0,88872
STAP-MEC-181,Mecánica estática,Soldadura de tubería de proceso — Área 200 (Separación),pulg_diam,1910,1309,137004,0.86,94351
STAP-MEC-182,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,22418,16272,29816,0.89,20845
STAP-MEC-183,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 100 (Recepción),und,2,1,126069,0.54,70011
STAP-MEC-184,Mecánica estática,Prueba hidrostática de líneas — Área 100 (Recepción),m,2719,2166,12154,0.89,9963
STAP-MEC-185,Mecánica estática,Aislamiento térmico de tubería — Área 100 (Recepción),m2,1362,1051,13157,0.87,9770
STAP-MEC-186,Mecánica estática,Prueba hidrostática de líneas — Área 400 (Bombeo),m,2756,1450,12815,0.61,6804
STAP-MEC-187,Mecánica estática,Aislamiento térmico de tubería — Área 400 (Bombeo),m2,337,167,2393,0.68,1190
STAP-MEC-188,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 500 (Inyección),und,2,1,244327,0.6,126657
STAP-MEC-189,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 200 (Separación),und,1,1,131018,1.0,136230
STAP-MEC-190,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 100 (Recepción),und,1,1,94603,1.0,100666
STAP-MEC-191,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 100 (Recepción),und,1,0,100183,0.18,0
STAP-MEC-192,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 600 (Servicios),und,2,1,123423,0.69,65503
STAP-MEC-193,Mecánica estática,Montaje de válvulas de proceso — Área 200 (Separación),und,77,50,92546,0.79,59118
STAP-MEC-194,Mecánica estática,Soldadura de tubería de proceso — Área 600 (Servicios),pulg_diam,1898,1067,129406,0.61,77672
STAP-MEC-195,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 500 (Inyección),und,1,1,83844,1.0,81716
STAP-MEC-196,Mecánica estática,Aislamiento térmico de tubería — Área 300 (Tratamiento),m2,1143,954,11887,0.93,9874
STAP-MEC-197,Mecánica estática,Soldadura de tubería de proceso — Área 100 (Recepción),pulg_diam,530,453,21518,1.0,18359
STAP-MEC-198,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 600 (Servicios),und,2,1,213795,0.64,104741
STAP-MEC-199,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 300 (Tratamiento),und,2,2,218455,1.0,229729
STAP-MEC-200,Mecánica estática,Tendido de tubería enterrada — Área 400 (Bombeo),m,2755,1854,72484,0.86,54133
STAP-MEC-201,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 100 (Recepción),und,1,1,137955,1.0,138888
STAP-MEC-202,Mecánica estática,Tendido de tubería enterrada — Área 400 (Bombeo),m,3041,1902,55894,0.78,37486
STAP-MEC-203,Mecánica estática,Aislamiento térmico de tubería — Área 400 (Bombeo),m2,989,544,10820,0.64,6079
STAP-MEC-204,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,29710,25072,40406,0.96,37196
STAP-MEC-205,Mecánica estática,Accesorios y soportería de tubería — Área 600 (Servicios),kg,13171,10626,12381,0.89,10802
STAP-MEC-206,Mecánica estática,Tendido de tubería enterrada — Área 100 (Recepción),m,2881,1521,75713,0.63,40515
STAP-MEC-207,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 200 (Separación),und,2,1,214552,0.7,105337
STAP-MEC-208,Mecánica estática,Prueba hidrostática de líneas — Área 500 (Inyección),m,1986,1153,9155,0.71,5616
STAP-MEC-209,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,77,39,52837,0.63,25905
STAP-MEC-210,Mecánica estática,Tendido de tubería enterrada — Área 200 (Separación),m,1477,921,29318,0.73,18341
STAP-MEC-211,Mecánica estática,Soldadura de tubería de proceso — Área 500 (Inyección),pulg_diam,1581,758,111192,0.54,58621
STAP-MEC-212,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 500 (Inyección),und,2,2,277359,1.0,311062
STAP-MEC-213,Mecánica estática,Aislamiento térmico de tubería — Área 500 (Inyección),m2,910,553,8845,0.69,5588
STAP-MEC-214,Mecánica estática,Aislamiento térmico de tubería — Área 600 (Servicios),m2,981,526,7887,0.62,4230
STAP-MEC-215,Mecánica estática,Montaje de válvulas de proceso — Área 600 (Servicios),und,59,33,62352,0.6,34257
STAP-MEC-216,Mecánica estática,Prueba hidrostática de líneas — Área 300 (Tratamiento),m,2305,1726,10810,0.84,9113
STAP-MEC-217,Mecánica estática,Soldadura de tubería de proceso — Área 100 (Recepción),pulg_diam,1976,1028,112276,0.67,56085
STAP-MEC-218,Mecánica estática,Tendido de tubería enterrada — Área 500 (Inyección),m,656,323,12694,0.58,6331
STAP-MEC-219,Mecánica estática,Accesorios y soportería de tubería — Área 500 (Inyección),kg,21100,17423,23210,0.89,20085
STAP-MEC-220,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,44,29,26634,0.83,17896
STAP-MEC-221,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 500 (Inyección),und,2,2,178890,1.0,202083
STAP-MEC-222,Mecánica estática,Tendido de tubería enterrada — Área 200 (Separación),m,2048,1068,55378,0.62,28210
STAP-MEC-223,Mecánica estática,Montaje de válvulas de proceso — Área 400 (Bombeo),und,25,19,35461,0.86,26148
STAP-MEC-224,Mecánica estática,Tendido de tubería enterrada — Área 400 (Bombeo),m,834,735,17764,0.95,17483
STAP-MEC-225,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 100 (Recepción),und,1,1,107239,1.0,115958
STAP-MEC-226,Mecánica estática,Tendido de tubería enterrada — Área 100 (Recepción),m,1549,1049,36216,0.75,26915
STAP-MEC-227,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 500 (Inyección),und,1,1,99199,1.0,108840
STAP-MEC-228,Mecánica estática,Aislamiento térmico de tubería — Área 300 (Tratamiento),m2,1401,713,13842,0.66,6760
STAP-MEC-229,Mecánica estática,Accesorios y soportería de tubería — Área 400 (Bombeo),kg,17957,10188,17239,0.75,9576
STAP-MEC-230,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 300 (Tratamiento),und,2,1,256200,0.6,138855
STAP-MEC-231,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,43,24,34179,0.7,21572
STAP-MEC-232,Mecánica estática,Soldadura de tubería de proceso — Área 600 (Servicios),pulg_diam,542,296,32710,0.73,19963
STAP-MEC-233,Mecánica estática,Aislamiento térmico de tubería — Área 100 (Recepción),m2,1197,605,14113,0.63,7962
STAP-MEC-234,Mecánica estática,Prueba hidrostática de líneas — Área 100 (Recepción),m,891,619,4170,0.78,3164
STAP-MEC-235,Mecánica estática,Accesorios y soportería de tubería — Área 600 (Servicios),kg,14443,11515,17909,0.9,14803
STAP-MEC-236,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 200 (Separación),und,2,1,195219,0.63,109280
STAP-MEC-237,Mecánica estática,Tendido de tubería enterrada — Área 200 (Separación),m,1363,804,40917,0.69,25600
STAP-MEC-238,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 300 (Tratamiento),und,1,0,135974,0.07,0
STAP-MEC-239,Mecánica estática,Soldadura de tubería de proceso — Área 100 (Recepción),pulg_diam,2664,2219,194232,0.92,159466
STAP-MEC-240,Mecánica estática,Accesorios y soportería de tubería — Área 600 (Servicios),kg,29767,22273,36018,0.81,25977
STAP-MEC-241,Mecánica estática,Aislamiento térmico de tubería — Área 300 (Tratamiento),m2,314,221,2368,0.8,1773
STAP-MEC-242,Mecánica estática,Soldadura de tubería de proceso — Área 300 (Tratamiento),pulg_diam,1214,820,78509,0.76,50653
STAP-MEC-243,Mecánica estática,Aislamiento térmico de tubería — Área 400 (Bombeo),m2,1752,840,18063,0.57,9337
STAP-MEC-244,Mecánica estática,Tendido de tubería enterrada — Área 100 (Recepción),m,1922,1061,37844,0.61,22517
STAP-MEC-245,Mecánica estática,Tendido de tubería enterrada — Área 400 (Bombeo),m,2371,1832,50787,0.86,44022
STAP-MEC-246,Mecánica estática,Montaje de válvulas de proceso — Área 100 (Recepción),und,38,24,53538,0.82,38017
STAP-MEC-247,Mecánica estática,Aislamiento térmico de tubería — Área 100 (Recepción),m2,1668,1332,19382,0.98,14667
STAP-MEC-248,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 500 (Inyección),und,1,1,66535,1.0,73624
STAP-MEC-249,Mecánica estática,Tendido de tubería enterrada — Área 100 (Recepción),m,972,495,26263,0.59,12907
STAP-MEC-250,Mecánica estática,Prueba hidrostática de líneas — Área 400 (Bombeo),m,489,227,2166,0.61,1071
STAP-MEC-251,Mecánica estática,Tendido de tubería enterrada — Área 400 (Bombeo),m,1721,1288,47586,0.84,36703
STAP-MEC-252,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 200 (Separación),und,2,1,189446,0.65,104621
STAP-MEC-253,Mecánica estática,Soldadura de tubería de proceso — Área 500 (Inyección),pulg_diam,1138,870,75108,0.84,58063
STAP-MEC-254,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 300 (Tratamiento),und,2,2,260537,1.0,246226
STAP-MEC-255,Mecánica estática,Prueba hidrostática de líneas — Área 100 (Recepción),m,2086,1269,6675,0.75,3962
STAP-MEC-256,Mecánica estática,Accesorios y soportería de tubería — Área 300 (Tratamiento),kg,22710,12076,32021,0.59,16772
STAP-MEC-257,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 300 (Tratamiento),und,2,2,199496,1.0,193496
STAP-MEC-258,Mecánica estática,Aislamiento térmico de tubería — Área 500 (Inyección),m2,1188,927,9041,0.93,7379
STAP-MEC-259,Mecánica estática,Soldadura de tubería de proceso — Área 600 (Servicios),pulg_diam,2984,1397,216519,0.51,108631
STAP-MEC-260,Mecánica estática,Montaje de válvulas de proceso — Área 300 (Tratamiento),und,91,48,82679,0.6,49390
STAP-MEC-261,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 300 (Tratamiento),und,2,1,278001,0.6,148497
STAP-MEC-262,Mecánica estática,Prueba hidrostática de líneas — Área 200 (Separación),m,1471,688,8267,0.56,4330
STAP-MEC-263,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 200 (Separación),und,2,1,210665,0.57,109148
STAP-MEC-264,Mecánica estática,Soldadura de tubería de proceso — Área 600 (Servicios),pulg_diam,1602,1326,72747,0.96,67518
STAP-MEC-265,Mecánica estática,Soldadura de tubería de proceso — Área 300 (Tratamiento),pulg_diam,2210,1707,153330,0.85,130517
STAP-MEC-266,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 500 (Inyección),und,2,1,120874,0.65,59084
STAP-MEC-267,Mecánica estática,Accesorios y soportería de tubería — Área 100 (Recepción),kg,10088,6124,11645,0.65,7353
STAP-INS-001,Instrumentación,Bandejas y canalización de señales — Área 500 (Inyección),m,1672,779,17589,0.65,8498
STAP-INS-002,Instrumentación,Lazo de control - pruebas de lazo — Área 600 (Servicios),und,42,6,32549,0.21,4529
STAP-INS-003,Instrumentación,Instalación de instrumento de campo (Tx) — Área 200 (Separación),und,29,8,46840,0.41,13025
STAP-INS-004,Instrumentación,Válvula de control y actuador — Área 600 (Servicios),und,11,2,71336,0.35,12611
STAP-INS-005,Instrumentación,Sistema de parada de emergencia (ESD) — Área 300 (Tratamiento),und,11,5,135016,0.53,63601
STAP-INS-006,Instrumentación,Lazo de control - pruebas de lazo — Área 400 (Bombeo),und,53,22,24763,0.48,10725
STAP-INS-007,Instrumentación,Sistema de parada de emergencia (ESD) — Área 600 (Servicios),und,7,1,78831,0.34,12763
STAP-INS-008,Instrumentación,Bandejas y canalización de señales — Área 600 (Servicios),m,3899,923,39653,0.33,8957
STAP-INS-009,Instrumentación,Sistema de parada de emergencia (ESD) — Área 600 (Servicios),ml,10,4,65550,0.48,28536
STAP-INS-010,Instrumentación,Cableado de instrumentación — Área 200 (Separación),m,9018,4050,55731,0.6,24272
